"Tabela 10295 - Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a), valor do rendimento domiciliar mensal per capita, médio e mediano, por sexo, cor ou raça e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) (Reais)"
"Nível";"Cód.";"Município";"Grupo de idade";"Ano x Sexo x Cor ou raça"
"Nível";"Cód.";"Município";"Grupo de idade";"2022"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"MU";"1300680";"Boa Vista do Ramos (AM)";"Total";"497,38"
"MU";"1300706";"Boca do Acre (AM)";"Total";"669,72"
"MU";"1300805";"Borba (AM)";"Total";"567,31"
"MU";"1300839";"Caapiranga (AM)";"Total";"488,73"
"MU";"1300904";"Canutama (AM)";"Total";"601,49"
"MU";"1301001";"Carauari (AM)";"Total";"579,82"
"MU";"1301100";"Careiro (AM)";"Total";"698,24"
"MU";"1301159";"Careiro da Várzea (AM)";"Total";"638,54"
"MU";"1301209";"Coari (AM)";"Total";"580,54"
"MU";"1301308";"Codajás (AM)";"Total";"586,95"
"MU";"1301407";"Eirunepé (AM)";"Total";"588,49"
"MU";"1301506";"Envira (AM)";"Total";"579,21"
"MU";"1301605";"Fonte Boa (AM)";"Total";"638,80"
"MU";"1301654";"Guajará (AM)";"Total";"596,23"
"MU";"1301704";"Humaitá (AM)";"Total";"871,32"
"MU";"1301803";"Ipixuna (AM)";"Total";"508,99"
"MU";"1301852";"Iranduba (AM)";"Total";"805,81"
"MU";"1301902";"Itacoatiara (AM)";"Total";"734,27"
"MU";"1301951";"Itamarati (AM)";"Total";"525,38"
"MU";"1302009";"Itapiranga (AM)";"Total";"687,95"
"MU";"1302108";"Japurá (AM)";"Total";"823,60"
"MU";"1302207";"Juruá (AM)";"Total";"516,57"
"MU";"1302306";"Jutaí (AM)";"Total";"566,68"
"MU";"1302405";"Lábrea (AM)";"Total";"618,00"
"MU";"1302504";"Manacapuru (AM)";"Total";"680,39"
"MU";"1302553";"Manaquiri (AM)";"Total";"568,36"
"MU";"1302603";"Manaus (AM)";"Total";"1284,70"
"MU";"1302702";"Manicoré (AM)";"Total";"701,45"
"MU";"1302801";"Maraã (AM)";"Total";"518,13"
"MU";"1302900";"Maués (AM)";"Total";"488,47"
"MU";"1303007";"Nhamundá (AM)";"Total";"539,62"
"MU";"1303106";"Nova Olinda do Norte (AM)";"Total";"537,70"
"MU";"1303205";"Novo Airão (AM)";"Total";"700,88"
"MU";"1303304";"Novo Aripuanã (AM)";"Total";"630,53"
"MU";"1303403";"Parintins (AM)";"Total";"796,66"
"MU";"1303502";"Pauini (AM)";"Total";"454,55"
"MU";"1303536";"Presidente Figueiredo (AM)";"Total";"976,41"
"MU";"1303569";"Rio Preto da Eva (AM)";"Total";"801,10"
"MU";"1303601";"Santa Isabel do Rio Negro (AM)";"Total";"448,85"
"MU";"1303700";"Santo Antônio do Içá (AM)";"Total";"489,41"
"MU";"1303809";"São Gabriel da Cachoeira (AM)";"Total";"577,82"
"MU";"1303908";"São Paulo de Olivença (AM)";"Total";"396,95"
"MU";"1303957";"São Sebastião do Uatumã (AM)";"Total";"657,76"
"MU";"1304005";"Silves (AM)";"Total";"559,89"
"MU";"1304062";"Tabatinga (AM)";"Total";"669,60"
"MU";"1304104";"Tapauá (AM)";"Total";"541,23"
"MU";"1304203";"Tefé (AM)";"Total";"767,14"
"MU";"1304237";"Tonantins (AM)";"Total";"432,01"
"MU";"1304260";"Uarini (AM)";"Total";"516,14"
"MU";"1304302";"Urucará (AM)";"Total";"690,49"
"MU";"1304401";"Urucurituba (AM)";"Total";"629,39"
"MU";"1400027";"Amajari (RR)";"Total";"493,70"
"MU";"1400050";"Alto Alegre (RR)";"Total";"467,63"
"MU";"1400100";"Boa Vista (RR)";"Total";"1399,00"
"MU";"1400159";"Bonfim (RR)";"Total";"583,73"
"MU";"1400175";"Cantá (RR)";"Total";"787,97"
"MU";"1400209";"Caracaraí (RR)";"Total";"714,44"
"MU";"1400233";"Caroebe (RR)";"Total";"917,60"
"MU";"1400282";"Iracema (RR)";"Total";"781,65"
"MU";"1400308";"Mucajaí (RR)";"Total";"809,57"
"MU";"1400407";"Normandia (RR)";"Total";"486,61"
"MU";"1400456";"Pacaraima (RR)";"Total";"578,04"
"MU";"1400472";"Rorainópolis (RR)";"Total";"831,40"
"MU";"1400506";"São João da Baliza (RR)";"Total";"895,80"
"MU";"1400605";"São Luiz (RR)";"Total";"827,26"
"MU";"1400704";"Uiramutã (RR)";"Total";"288,65"
"MU";"1500107";"Abaetetuba (PA)";"Total";"771,33"
"MU";"1500131";"Abel Figueiredo (PA)";"Total";"923,20"
"MU";"1500206";"Acará (PA)";"Total";"505,33"
"MU";"1500305";"Afuá (PA)";"Total";"476,09"
"MU";"1500347";"Água Azul do Norte (PA)";"Total";"936,70"
"MU";"1500404";"Alenquer (PA)";"Total";"562,30"
"MU";"1500503";"Almeirim (PA)";"Total";"773,03"
"MU";"1500602";"Altamira (PA)";"Total";"1245,26"
"MU";"1500701";"Anajás (PA)";"Total";"524,25"
"MU";"1500800";"Ananindeua (PA)";"Total";"1219,88"
"MU";"1500859";"Anapu (PA)";"Total";"765,01"
"MU";"1500909";"Augusto Corrêa (PA)";"Total";"479,94"
"MU";"1500958";"Aurora do Pará (PA)";"Total";"574,32"
"MU";"1501006";"Aveiro (PA)";"Total";"477,87"
"MU";"1501105";"Bagre (PA)";"Total";"358,65"
"MU";"1501204";"Baião (PA)";"Total";"460,65"
"MU";"1501253";"Bannach (PA)";"Total";"995,23"
"MU";"1501303";"Barcarena (PA)";"Total";"975,54"
"MU";"1501402";"Belém (PA)";"Total";"1668,52"
"MU";"1501451";"Belterra (PA)";"Total";"741,15"
"MU";"1501501";"Benevides (PA)";"Total";"818,99"
"MU";"1501576";"Bom Jesus do Tocantins (PA)";"Total";"947,99"
"MU";"1501600";"Bonito (PA)";"Total";"739,25"
"MU";"1501709";"Bragança (PA)";"Total";"810,48"
"MU";"1501725";"Brasil Novo (PA)";"Total";"763,34"
"MU";"1501758";"Brejo Grande do Araguaia (PA)";"Total";"766,20"
"MU";"1501782";"Breu Branco (PA)";"Total";"725,32"
"MU";"1501808";"Breves (PA)";"Total";"606,08"
"MU";"1501907";"Bujaru (PA)";"Total";"526,09"
"MU";"1501956";"Cachoeira do Piriá (PA)";"Total";"564,23"
"MU";"1502004";"Cachoeira do Arari (PA)";"Total";"488,54"
"MU";"1502103";"Cametá (PA)";"Total";"597,90"
"MU";"1502152";"Canaã dos Carajás (PA)";"Total";"1364,40"
"MU";"1502202";"Capanema (PA)";"Total";"966,47"
"MU";"1502301";"Capitão Poço (PA)";"Total";"704,58"
"MU";"1502400";"Castanhal (PA)";"Total";"1055,05"
"MU";"1502509";"Chaves (PA)";"Total";"584,29"
"MU";"1502608";"Colares (PA)";"Total";"655,87"
"MU";"1502707";"Conceição do Araguaia (PA)";"Total";"1032,80"
"MU";"1502756";"Concórdia do Pará (PA)";"Total";"699,98"
"MU";"1502764";"Cumaru do Norte (PA)";"Total";"1007,72"
"MU";"1502772";"Curionópolis (PA)";"Total";"1036,35"
"MU";"1502806";"Curralinho (PA)";"Total";"472,98"
"MU";"1502855";"Curuá (PA)";"Total";"556,04"
"MU";"1502905";"Curuçá (PA)";"Total";"614,45"
"MU";"1502939";"Dom Eliseu (PA)";"Total";"782,32"
"MU";"1502954";"Eldorado do Carajás (PA)";"Total";"879,96"
"MU";"1503002";"Faro (PA)";"Total";"594,92"
"MU";"1503044";"Floresta do Araguaia (PA)";"Total";"831,86"
"MU";"1503077";"Garrafão do Norte (PA)";"Total";"620,45"
"MU";"1503093";"Goianésia do Pará (PA)";"Total";"829,00"
"MU";"1503101";"Gurupá (PA)";"Total";"634,91"
"MU";"1503200";"Igarapé-Açu (PA)";"Total";"718,26"
"MU";"1503309";"Igarapé-Miri (PA)";"Total";"617,29"
"MU";"1503408";"Inhangapi (PA)";"Total";"631,70"
"MU";"1503457";"Ipixuna do Pará (PA)";"Total";"594,25"
"MU";"1503507";"Irituia (PA)";"Total";"616,62"
"MU";"1503606";"Itaituba (PA)";"Total";"1074,37"
"MU";"1503705";"Itupiranga (PA)";"Total";"636,27"
