"Tabela 10295 - Moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a), valor do rendimento domiciliar mensal per capita, médio e mediano, por sexo, cor ou raça e grupos de idade"
"Variável - Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a) (Reais)"
"Nível";"Cód.";"Município";"Grupo de idade";"Ano x Sexo x Cor ou raça"
"Nível";"Cód.";"Município";"Grupo de idade";"2022"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"Nível";"Cód.";"Município";"Grupo de idade";"Total"
"MU";"2510709";"Passagem (PB)";"Total";"746,66"
"MU";"2510808";"Patos (PB)";"Total";"1142,69"
"MU";"2510907";"Paulista (PB)";"Total";"838,40"
"MU";"2511004";"Pedra Branca (PB)";"Total";"803,95"
"MU";"2511103";"Pedra Lavrada (PB)";"Total";"756,49"
"MU";"2511202";"Pedras de Fogo (PB)";"Total";"753,14"
"MU";"2511301";"Piancó (PB)";"Total";"818,71"
"MU";"2511400";"Picuí (PB)";"Total";"811,97"
"MU";"2511509";"Pilar (PB)";"Total";"684,50"
"MU";"2511608";"Pilões (PB)";"Total";"631,44"
"MU";"2511707";"Pilõezinhos (PB)";"Total";"698,44"
"MU";"2511806";"Pirpirituba (PB)";"Total";"705,61"
"MU";"2511905";"Pitimbu (PB)";"Total";"792,24"
"MU";"2512002";"Pocinhos (PB)";"Total";"675,29"
"MU";"2512036";"Poço Dantas (PB)";"Total";"624,78"
"MU";"2512077";"Poço de José de Moura (PB)";"Total";"838,02"
"MU";"2512101";"Pombal (PB)";"Total";"933,34"
"MU";"2512200";"Prata (PB)";"Total";"839,70"
"MU";"2512309";"Princesa Isabel (PB)";"Total";"878,34"
"MU";"2512408";"Puxinanã (PB)";"Total";"699,33"
"MU";"2512507";"Queimadas (PB)";"Total";"731,28"
"MU";"2512606";"Quixaba (PB)";"Total";"661,14"
"MU";"2512705";"Remígio (PB)";"Total";"855,49"
"MU";"2512721";"Pedro Régis (PB)";"Total";"566,40"
"MU";"2512747";"Riachão (PB)";"Total";"576,42"
"MU";"2512754";"Riachão do Bacamarte (PB)";"Total";"669,38"
"MU";"2512762";"Riachão do Poço (PB)";"Total";"516,30"
"MU";"2512788";"Riacho de Santo Antônio (PB)";"Total";"750,97"
"MU";"2512804";"Riacho dos Cavalos (PB)";"Total";"677,30"
"MU";"2512903";"Rio Tinto (PB)";"Total";"898,43"
"MU";"2513000";"Salgadinho (PB)";"Total";"704,73"
"MU";"2513109";"Salgado de São Félix (PB)";"Total";"636,36"
"MU";"2513158";"Santa Cecília (PB)";"Total";"619,23"
"MU";"2513208";"Santa Cruz (PB)";"Total";"784,35"
"MU";"2513307";"Santa Helena (PB)";"Total";"806,74"
"MU";"2513356";"Santa Inês (PB)";"Total";"715,43"
"MU";"2513406";"Santa Luzia (PB)";"Total";"1091,08"
"MU";"2513505";"Santana de Mangueira (PB)";"Total";"646,52"
"MU";"2513604";"Santana dos Garrotes (PB)";"Total";"712,84"
"MU";"2513653";"Joca Claudino (PB)";"Total";"642,82"
"MU";"2513703";"Santa Rita (PB)";"Total";"798,63"
"MU";"2513802";"Santa Teresinha (PB)";"Total";"755,28"
"MU";"2513851";"Santo André (PB)";"Total";"760,73"
"MU";"2513901";"São Bento (PB)";"Total";"768,83"
"MU";"2513927";"São Bentinho (PB)";"Total";"710,23"
"MU";"2513943";"São Domingos do Cariri (PB)";"Total";"736,91"
"MU";"2513968";"São Domingos (PB)";"Total";"612,72"
"MU";"2513984";"São Francisco (PB)";"Total";"799,27"
"MU";"2514008";"São João do Cariri (PB)";"Total";"945,10"
"MU";"2514107";"São João do Tigre (PB)";"Total";"646,30"
"MU";"2514206";"São José da Lagoa Tapada (PB)";"Total";"704,78"
"MU";"2514305";"São José de Caiana (PB)";"Total";"647,02"
"MU";"2514404";"São José de Espinharas (PB)";"Total";"728,77"
"MU";"2514453";"São José dos Ramos (PB)";"Total";"555,75"
"MU";"2514503";"São José de Piranhas (PB)";"Total";"820,53"
"MU";"2514552";"São José de Princesa (PB)";"Total";"600,80"
"MU";"2514602";"São José do Bonfim (PB)";"Total";"706,28"
"MU";"2514651";"São José do Brejo do Cruz (PB)";"Total";"631,90"
"MU";"2514701";"São José do Sabugi (PB)";"Total";"857,72"
"MU";"2514800";"São José dos Cordeiros (PB)";"Total";"702,98"
"MU";"2514909";"São Mamede (PB)";"Total";"964,15"
"MU";"2515005";"São Miguel de Taipu (PB)";"Total";"666,13"
"MU";"2515104";"São Sebastião de Lagoa de Roça (PB)";"Total";"790,63"
"MU";"2515203";"São Sebastião do Umbuzeiro (PB)";"Total";"649,40"
"MU";"2515302";"Sapé (PB)";"Total";"745,51"
"MU";"2515401";"São Vicente do Seridó (PB)";"Total";"565,48"
"MU";"2515500";"Serra Branca (PB)";"Total";"799,81"
"MU";"2515609";"Serra da Raiz (PB)";"Total";"775,82"
"MU";"2515708";"Serra Grande (PB)";"Total";"808,70"
"MU";"2515807";"Serra Redonda (PB)";"Total";"753,33"
"MU";"2515906";"Serraria (PB)";"Total";"675,36"
"MU";"2515930";"Sertãozinho (PB)";"Total";"740,43"
"MU";"2515971";"Sobrado (PB)";"Total";"652,46"
"MU";"2516003";"Solânea (PB)";"Total";"839,65"
"MU";"2516102";"Soledade (PB)";"Total";"706,29"
"MU";"2516151";"Sossêgo (PB)";"Total";"616,53"
"MU";"2516201";"Sousa (PB)";"Total";"981,33"
"MU";"2516300";"Sumé (PB)";"Total";"880,46"
"MU";"2516409";"Tacima (PB)";"Total";"650,92"
"MU";"2516508";"Taperoá (PB)";"Total";"700,22"
"MU";"2516607";"Tavares (PB)";"Total";"663,48"
"MU";"2516706";"Teixeira (PB)";"Total";"702,92"
"MU";"2516755";"Tenório (PB)";"Total";"702,81"
"MU";"2516805";"Triunfo (PB)";"Total";"789,08"
"MU";"2516904";"Uiraúna (PB)";"Total";"952,63"
"MU";"2517001";"Umbuzeiro (PB)";"Total";"654,31"
"MU";"2517100";"Várzea (PB)";"Total";"1170,44"
"MU";"2517209";"Vieirópolis (PB)";"Total";"639,99"
"MU";"2517407";"Zabelê (PB)";"Total";"663,21"
"MU";"2600054";"Abreu e Lima (PE)";"Total";"846,62"
"MU";"2600104";"Afogados da Ingazeira (PE)";"Total";"919,32"
"MU";"2600203";"Afrânio (PE)";"Total";"691,79"
"MU";"2600302";"Agrestina (PE)";"Total";"705,78"
"MU";"2600401";"Água Preta (PE)";"Total";"648,88"
"MU";"2600500";"Águas Belas (PE)";"Total";"664,95"
"MU";"2600609";"Alagoinha (PE)";"Total";"874,61"
"MU";"2600708";"Aliança (PE)";"Total";"690,20"
"MU";"2600807";"Altinho (PE)";"Total";"750,58"
"MU";"2600906";"Amaraji (PE)";"Total";"660,20"
"MU";"2601003";"Angelim (PE)";"Total";"715,39"
"MU";"2601052";"Araçoiaba (PE)";"Total";"654,41"
"MU";"2601102";"Araripina (PE)";"Total";"739,65"
"MU";"2601201";"Arcoverde (PE)";"Total";"1070,66"
"MU";"2601300";"Barra de Guabiraba (PE)";"Total";"636,98"
"MU";"2601409";"Barreiros (PE)";"Total";"716,35"
"MU";"2601508";"Belém de Maria (PE)";"Total";"699,08"
"MU";"2601607";"Belém do São Francisco (PE)";"Total";"787,99"
"MU";"2601706";"Belo Jardim (PE)";"Total";"891,95"
"MU";"2601805";"Betânia (PE)";"Total";"640,05"
"MU";"2601904";"Bezerros (PE)";"Total";"924,11"
"MU";"2602001";"Bodocó (PE)";"Total";"682,16"
"MU";"2602100";"Bom Conselho (PE)";"Total";"770,50"
"MU";"2602209";"Bom Jardim (PE)";"Total";"690,72"
"MU";"2602308";"Bonito (PE)";"Total";"709,58"
"MU";"2602407";"Brejão (PE)";"Total";"636,03"
"MU";"2602506";"Brejinho (PE)";"Total";"773,01"
"MU";"2602605";"Brejo da Madre de Deus (PE)";"Total";"675,81"
"MU";"2602704";"Buenos Aires (PE)";"Total";"708,20"
"MU";"2602803";"Buíque (PE)";"Total";"568,15"
"MU";"2602902";"Cabo de Santo Agostinho (PE)";"Total";"945,95"
"MU";"2603009";"Cabrobó (PE)";"Total";"696,24"
"MU";"2603108";"Cachoeirinha (PE)";"Total";"751,83"
"MU";"2603207";"Caetés (PE)";"Total";"638,00"
"MU";"2603306";"Calçado (PE)";"Total";"649,94"
"MU";"2603405";"Calumbi (PE)";"Total";"734,95"
"MU";"2603454";"Camaragibe (PE)";"Total";"1097,38"
"MU";"2603504";"Camocim de São Félix (PE)";"Total";"756,16"
"MU";"2603603";"Camutanga (PE)";"Total";"704,26"
"MU";"2603702";"Canhotinho (PE)";"Total";"705,83"
"MU";"2603801";"Capoeiras (PE)";"Total";"632,03"
"MU";"2603900";"Carnaíba (PE)";"Total";"701,37"
"MU";"2603926";"Carnaubeira da Penha (PE)";"Total";"646,68"
"MU";"2604007";"Carpina (PE)";"Total";"1015,04"
"MU";"2604106";"Caruaru (PE)";"Total";"1147,39"
"MU";"2604155";"Casinhas (PE)";"Total";"604,46"
"MU";"2604205";"Catende (PE)";"Total";"751,85"
"MU";"2604304";"Cedro (PE)";"Total";"684,12"
"MU";"2604403";"Chã de Alegria (PE)";"Total";"658,43"
"MU";"2604502";"Chã Grande (PE)";"Total";"751,12"
"MU";"2604601";"Condado (PE)";"Total";"767,77"
"MU";"2604700";"Correntes (PE)";"Total";"619,92"
"MU";"2604809";"Cortês (PE)";"Total";"678,09"
"MU";"2604908";"Cumaru (PE)";"Total";"750,88"
"MU";"2605004";"Cupira (PE)";"Total";"712,78"
"MU";"2605103";"Custódia (PE)";"Total";"857,53"
"MU";"2605152";"Dormentes (PE)";"Total";"775,81"
"MU";"2605202";"Escada (PE)";"Total";"822,04"
"MU";"2605301";"Exu (PE)";"Total";"647,76"
"MU";"2605400";"Feira Nova (PE)";"Total";"738,81"
"MU";"2605459";"Fernando de Noronha (PE)";"Total";"2566,14"
"MU";"2605509";"Ferreiros (PE)";"Total";"803,44"
"MU";"2605608";"Flores (PE)";"Total";"666,01"
"MU";"2605707";"Floresta (PE)";"Total";"843,67"
"MU";"2605806";"Frei Miguelinho (PE)";"Total";"794,41"
"MU";"2605905";"Gameleira (PE)";"Total";"707,33"
"MU";"2606002";"Garanhuns (PE)";"Total";"1128,17"
"MU";"2606101";"Glória do Goitá (PE)";"Total";"691,86"
"MU";"2606200";"Goiana (PE)";"Total";"839,04"
"MU";"2606309";"Granito (PE)";"Total";"697,41"
"MU";"2606408";"Gravatá (PE)";"Total";"1029,73"
"MU";"2606507";"Iati (PE)";"Total";"670,09"
"MU";"2606606";"Ibimirim (PE)";"Total";"646,06"
"MU";"2606705";"Ibirajuba (PE)";"Total";"704,48"
"MU";"2606804";"Igarassu (PE)";"Total";"880,67"
"MU";"2606903";"Iguaracy (PE)";"Total";"691,37"
"MU";"2607000";"Inajá (PE)";"Total";"506,86"
"MU";"2607109";"Ingazeira (PE)";"Total";"728,49"
"MU";"2607208";"Ipojuca (PE)";"Total";"829,65"
"MU";"2607307";"Ipubi (PE)";"Total";"677,16"
"MU";"2607406";"Itacuruba (PE)";"Total";"662,99"
"MU";"2607505";"Itaíba (PE)";"Total";"603,53"
"MU";"2607604";"Ilha de Itamaracá (PE)";"Total";"871,13"
"MU";"2607653";"Itambé (PE)";"Total";"728,38"
"MU";"2607703";"Itapetim (PE)";"Total";"874,77"
"MU";"2607752";"Itapissuma (PE)";"Total";"745,48"
"MU";"2607802";"Itaquitinga (PE)";"Total";"625,18"
"MU";"2607901";"Jaboatão dos Guararapes (PE)";"Total";"1141,05"
"MU";"2607950";"Jaqueira (PE)";"Total";"544,67"
"MU";"2608008";"Jataúba (PE)";"Total";"627,22"
"MU";"2608057";"Jatobá (PE)";"Total";"826,57"
"MU";"2608107";"João Alfredo (PE)";"Total";"727,48"
"MU";"2608206";"Joaquim Nabuco (PE)";"Total";"689,95"
"MU";"2608255";"Jucati (PE)";"Total";"651,62"
"MU";"2608305";"Jupi (PE)";"Total";"802,92"
"MU";"2608404";"Jurema (PE)";"Total";"613,20"
"MU";"2608453";"Lagoa do Carro (PE)";"Total";"736,67"
"MU";"2608503";"Lagoa de Itaenga (PE)";"Total";"702,56"
"MU";"2608602";"Lagoa do Ouro (PE)";"Total";"631,35"
"MU";"2608701";"Lagoa dos Gatos (PE)";"Total";"619,00"
"MU";"2608750";"Lagoa Grande (PE)";"Total";"740,89"
"MU";"2608800";"Lajedo (PE)";"Total";"731,14"
"MU";"2608909";"Limoeiro (PE)";"Total";"937,06"
"MU";"2609006";"Macaparana (PE)";"Total";"730,04"
"MU";"2609105";"Machados (PE)";"Total";"730,09"
"MU";"2609154";"Manari (PE)";"Total";"359,10"
"MU";"2609204";"Maraial (PE)";"Total";"663,74"
"MU";"2609303";"Mirandiba (PE)";"Total";"719,61"
"MU";"2609402";"Moreno (PE)";"Total";"783,46"
"MU";"2609501";"Nazaré da Mata (PE)";"Total";"908,93"
"MU";"2609600";"Olinda (PE)";"Total";"1277,73"
"MU";"2609709";"Orobó (PE)";"Total";"685,96"
"MU";"2609808";"Orocó (PE)";"Total";"578,24"
"MU";"2609907";"Ouricuri (PE)";"Total";"725,60"
"MU";"2610004";"Palmares (PE)";"Total";"872,56"
"MU";"2610103";"Palmeirina (PE)";"Total";"744,56"
"MU";"2610202";"Panelas (PE)";"Total";"609,74"
"MU";"2610301";"Paranatama (PE)";"Total";"567,51"
"MU";"2610400";"Parnamirim (PE)";"Total";"704,76"
"MU";"2610509";"Passira (PE)";"Total";"698,48"
"MU";"2610608";"Paudalho (PE)";"Total";"1129,46"
"MU";"2610707";"Paulista (PE)";"Total";"1197,17"
"MU";"2610806";"Pedra (PE)";"Total";"566,96"
"MU";"2610905";"Pesqueira (PE)";"Total";"863,67"
"MU";"2611002";"Petrolândia (PE)";"Total";"745,92"
"MU";"2611101";"Petrolina (PE)";"Total";"1290,18"
"MU";"2611200";"Poção (PE)";"Total";"654,04"
"MU";"2611309";"Pombos (PE)";"Total";"774,09"
"MU";"2611408";"Primavera (PE)";"Total";"660,57"
"MU";"2611507";"Quipapá (PE)";"Total";"633,82"
"MU";"2611533";"Quixaba (PE)";"Total";"551,89"
"MU";"2611606";"Recife (PE)";"Total";"2284,77"
"MU";"2611705";"Riacho das Almas (PE)";"Total";"744,57"
"MU";"2611804";"Ribeirão (PE)";"Total";"833,71"
"MU";"2611903";"Rio Formoso (PE)";"Total";"729,18"
"MU";"2612000";"Sairé (PE)";"Total";"838,63"
"MU";"2612109";"Salgadinho (PE)";"Total";"771,72"
"MU";"2612208";"Salgueiro (PE)";"Total";"952,41"
"MU";"2612307";"Saloá (PE)";"Total";"658,78"
"MU";"2612406";"Sanharó (PE)";"Total";"656,04"
"MU";"2612455";"Santa Cruz (PE)";"Total";"661,87"
"MU";"2612471";"Santa Cruz da Baixa Verde (PE)";"Total";"629,41"
"MU";"2612505";"Santa Cruz do Capibaribe (PE)";"Total";"965,72"
"MU";"2612554";"Santa Filomena (PE)";"Total";"600,05"
"MU";"2612604";"Santa Maria da Boa Vista (PE)";"Total";"698,96"
"MU";"2612703";"Santa Maria do Cambucá (PE)";"Total";"698,75"
"MU";"2612802";"Santa Terezinha (PE)";"Total";"710,20"
"MU";"2612901";"São Benedito do Sul (PE)";"Total";"606,58"
"MU";"2613008";"São Bento do Una (PE)";"Total";"678,99"
"MU";"2613107";"São Caitano (PE)";"Total";"698,82"
"MU";"2613206";"São João (PE)";"Total";"739,27"
"MU";"2613305";"São Joaquim do Monte (PE)";"Total";"646,01"
"MU";"2613404";"São José da Coroa Grande (PE)";"Total";"953,27"
"MU";"2613503";"São José do Belmonte (PE)";"Total";"780,35"
"MU";"2613602";"São José do Egito (PE)";"Total";"818,37"
"MU";"2613701";"São Lourenço da Mata (PE)";"Total";"850,82"
"MU";"2613800";"São Vicente Férrer (PE)";"Total";"623,20"
"MU";"2613909";"Serra Talhada (PE)";"Total";"992,09"
"MU";"2614006";"Serrita (PE)";"Total";"632,57"
"MU";"2614105";"Sertânia (PE)";"Total";"787,05"
"MU";"2614204";"Sirinhaém (PE)";"Total";"728,49"
"MU";"2614303";"Moreilândia (PE)";"Total";"640,24"
"MU";"2614402";"Solidão (PE)";"Total";"650,08"
"MU";"2614501";"Surubim (PE)";"Total";"868,11"
"MU";"2614600";"Tabira (PE)";"Total";"836,97"
"MU";"2614709";"Tacaimbó (PE)";"Total";"667,75"
"MU";"2614808";"Tacaratu (PE)";"Total";"581,90"
"MU";"2614857";"Tamandaré (PE)";"Total";"807,27"
"MU";"2615003";"Taquaritinga do Norte (PE)";"Total";"869,56"
"MU";"2615102";"Terezinha (PE)";"Total";"627,03"
"MU";"2615201";"Terra Nova (PE)";"Total";"676,58"
"MU";"2615300";"Timbaúba (PE)";"Total";"824,27"
"MU";"2615409";"Toritama (PE)";"Total";"775,68"
"MU";"2615508";"Tracunhaém (PE)";"Total";"697,46"
"MU";"2615607";"Trindade (PE)";"Total";"700,43"
"MU";"2615706";"Triunfo (PE)";"Total";"988,78"
"MU";"2615805";"Tupanatinga (PE)";"Total";"507,68"
"MU";"2615904";"Tuparetama (PE)";"Total";"802,72"
"MU";"2616001";"Venturosa (PE)";"Total";"812,65"
"MU";"2616100";"Verdejante (PE)";"Total";"697,90"
"MU";"2616183";"Vertente do Lério (PE)";"Total";"693,87"
"MU";"2616209";"Vertentes (PE)";"Total";"820,75"
"MU";"2616308";"Vicência (PE)";"Total";"752,56"
"MU";"2616407";"Vitória de Santo Antão (PE)";"Total";"945,42"
"MU";"2616506";"Xexéu (PE)";"Total";"639,13"
"MU";"2700102";"Água Branca (AL)";"Total";"625,07"
"MU";"2700201";"Anadia (AL)";"Total";"686,24"
"MU";"2700300";"Arapiraca (AL)";"Total";"1080,25"
"MU";"2700409";"Atalaia (AL)";"Total";"711,54"
"MU";"2700508";"Barra de Santo Antônio (AL)";"Total";"823,52"
"MU";"2700607";"Barra de São Miguel (AL)";"Total";"1090,24"
"MU";"2700706";"Batalha (AL)";"Total";"781,96"
"MU";"2700805";"Belém (AL)";"Total";"785,36"
"MU";"2700904";"Belo Monte (AL)";"Total";"552,98"
"MU";"2701001";"Boca da Mata (AL)";"Total";"747,10"
"MU";"2701100";"Branquinha (AL)";"Total";"590,50"
"MU";"2701209";"Cacimbinhas (AL)";"Total";"674,58"
"MU";"2701308";"Cajueiro (AL)";"Total";"735,55"
"MU";"2701357";"Campestre (AL)";"Total";"700,77"
"MU";"2701407";"Campo Alegre (AL)";"Total";"751,21"
"MU";"2701506";"Campo Grande (AL)";"Total";"550,50"
"MU";"2701605";"Canapi (AL)";"Total";"628,19"
"MU";"2701704";"Capela (AL)";"Total";"743,82"
"MU";"2701803";"Carneiros (AL)";"Total";"607,69"
"MU";"2701902";"Chã Preta (AL)";"Total";"674,99"
"MU";"2702009";"Coité do Nóia (AL)";"Total";"649,14"
"MU";"2702108";"Colônia Leopoldina (AL)";"Total";"704,10"
"MU";"2702207";"Coqueiro Seco (AL)";"Total";"846,43"
"MU";"2702306";"Coruripe (AL)";"Total";"849,84"
"MU";"2702355";"Craíbas (AL)";"Total";"558,43"
"MU";"2702405";"Delmiro Gouveia (AL)";"Total";"919,98"
"MU";"2702504";"Dois Riachos (AL)";"Total";"614,92"
"MU";"2702553";"Estrela de Alagoas (AL)";"Total";"603,82"
"MU";"2702603";"Feira Grande (AL)";"Total";"543,54"
"MU";"2702702";"Feliz Deserto (AL)";"Total";"731,46"
"MU";"2702801";"Flexeiras (AL)";"Total";"656,18"
"MU";"2702900";"Girau do Ponciano (AL)";"Total";"607,35"
"MU";"2703007";"Ibateguara (AL)";"Total";"666,04"
"MU";"2703106";"Igaci (AL)";"Total";"646,11"
"MU";"2703205";"Igreja Nova (AL)";"Total";"525,81"
"MU";"2703304";"Inhapi (AL)";"Total";"599,89"
"MU";"2703403";"Jacaré dos Homens (AL)";"Total";"724,87"
"MU";"2703502";"Jacuípe (AL)";"Total";"677,81"
"MU";"2703601";"Japaratinga (AL)";"Total";"827,16"
"MU";"2703700";"Jaramataia (AL)";"Total";"637,77"
"MU";"2703759";"Jequiá da Praia (AL)";"Total";"778,85"
"MU";"2703809";"Joaquim Gomes (AL)";"Total";"618,24"
"MU";"2703908";"Jundiá (AL)";"Total";"714,04"
"MU";"2704005";"Junqueiro (AL)";"Total";"749,29"
"MU";"2704104";"Lagoa da Canoa (AL)";"Total";"633,44"
"MU";"2704203";"Limoeiro de Anadia (AL)";"Total";"652,14"
"MU";"2704302";"Maceió (AL)";"Total";"1605,60"
"MU";"2704401";"Major Isidoro (AL)";"Total";"744,14"
"MU";"2704500";"Maragogi (AL)";"Total";"833,62"
"MU";"2704609";"Maravilha (AL)";"Total";"713,11"
"MU";"2704708";"Marechal Deodoro (AL)";"Total";"1208,19"
"MU";"2704807";"Maribondo (AL)";"Total";"783,47"
"MU";"2704906";"Mar Vermelho (AL)";"Total";"904,73"
"MU";"2705002";"Mata Grande (AL)";"Total";"528,90"
"MU";"2705101";"Matriz de Camaragibe (AL)";"Total";"681,56"
"MU";"2705200";"Messias (AL)";"Total";"643,98"
"MU";"2705309";"Minador do Negrão (AL)";"Total";"646,55"
"MU";"2705408";"Monteirópolis (AL)";"Total";"635,08"
"MU";"2705507";"Murici (AL)";"Total";"749,66"
"MU";"2705606";"Novo Lino (AL)";"Total";"705,65"
"MU";"2705705";"Olho d'Água das Flores (AL)";"Total";"697,42"
"MU";"2705804";"Olho d'Água do Casado (AL)";"Total";"576,56"
"MU";"2705903";"Olho d'Água Grande (AL)";"Total";"436,54"
"MU";"2706000";"Olivença (AL)";"Total";"521,06"
"MU";"2706109";"Ouro Branco (AL)";"Total";"758,14"
"MU";"2706208";"Palestina (AL)";"Total";"726,16"
"MU";"2706307";"Palmeira dos Índios (AL)";"Total";"878,62"
"MU";"2706406";"Pão de Açúcar (AL)";"Total";"738,27"
"MU";"2706422";"Pariconha (AL)";"Total";"606,59"
"MU";"2706448";"Paripueira (AL)";"Total";"1071,88"
"MU";"2706505";"Passo de Camaragibe (AL)";"Total";"721,98"
"MU";"2706604";"Paulo Jacinto (AL)";"Total";"731,19"
"MU";"2706703";"Penedo (AL)";"Total";"911,94"
"MU";"2706802";"Piaçabuçu (AL)";"Total";"689,66"
"MU";"2706901";"Pilar (AL)";"Total";"819,78"
"MU";"2707008";"Pindoba (AL)";"Total";"674,19"
"MU";"2707107";"Piranhas (AL)";"Total";"826,25"
"MU";"2707206";"Poço das Trincheiras (AL)";"Total";"509,59"
"MU";"2707305";"Porto Calvo (AL)";"Total";"796,62"
"MU";"2707404";"Porto de Pedras (AL)";"Total";"731,48"
"MU";"2707503";"Porto Real do Colégio (AL)";"Total";"571,27"
"MU";"2707602";"Quebrangulo (AL)";"Total";"699,05"
"MU";"2707701";"Rio Largo (AL)";"Total";"778,71"
"MU";"2707800";"Roteiro (AL)";"Total";"665,34"
"MU";"2707909";"Santa Luzia do Norte (AL)";"Total";"692,89"
"MU";"2708006";"Santana do Ipanema (AL)";"Total";"721,11"
"MU";"2708105";"Santana do Mundaú (AL)";"Total";"642,22"
"MU";"2708204";"São Brás (AL)";"Total";"557,56"
"MU";"2708303";"São José da Laje (AL)";"Total";"702,25"
"MU";"2708402";"São José da Tapera (AL)";"Total";"603,09"
"MU";"2708501";"São Luís do Quitunde (AL)";"Total";"750,66"
"MU";"2708600";"São Miguel dos Campos (AL)";"Total";"912,83"
"MU";"2708709";"São Miguel dos Milagres (AL)";"Total";"959,27"
"MU";"2708808";"São Sebastião (AL)";"Total";"672,44"
"MU";"2708907";"Satuba (AL)";"Total";"970,21"
"MU";"2708956";"Senador Rui Palmeira (AL)";"Total";"560,65"
"MU";"2709004";"Tanque d'Arca (AL)";"Total";"687,88"
"MU";"2709103";"Taquarana (AL)";"Total";"618,00"
"MU";"2709152";"Teotônio Vilela (AL)";"Total";"740,39"
"MU";"2709202";"Traipu (AL)";"Total";"599,73"
"MU";"2709301";"União dos Palmares (AL)";"Total";"768,95"
"MU";"2709400";"Viçosa (AL)";"Total";"742,73"
"MU";"2800100";"Amparo do São Francisco (SE)";"Total";"773,49"
"MU";"2800209";"Aquidabã (SE)";"Total";"782,01"
"MU";"2800308";"Aracaju (SE)";"Total";"2087,74"
"MU";"2800407";"Arauá (SE)";"Total";"749,83"
"MU";"2800506";"Areia Branca (SE)";"Total";"794,41"
"MU";"2800605";"Barra dos Coqueiros (SE)";"Total";"1589,75"
"MU";"2800670";"Boquim (SE)";"Total";"880,42"
"MU";"2800704";"Brejo Grande (SE)";"Total";"554,26"
"MU";"2801009";"Campo do Brito (SE)";"Total";"921,66"
"MU";"2801108";"Canhoba (SE)";"Total";"689,22"
"MU";"2801207";"Canindé de São Francisco (SE)";"Total";"707,36"
"MU";"2801306";"Capela (SE)";"Total";"698,56"
"MU";"2801405";"Carira (SE)";"Total";"712,75"
"MU";"2801504";"Carmópolis (SE)";"Total";"766,36"
"MU";"2801603";"Cedro de São João (SE)";"Total";"764,19"
"MU";"2801702";"Cristinápolis (SE)";"Total";"661,19"
"MU";"2801900";"Cumbe (SE)";"Total";"711,39"
"MU";"2802007";"Divina Pastora (SE)";"Total";"789,16"
"MU";"2802106";"Estância (SE)";"Total";"896,64"
"MU";"2802205";"Feira Nova (SE)";"Total";"640,00"
"MU";"2802304";"Frei Paulo (SE)";"Total";"851,07"
"MU";"2802403";"Gararu (SE)";"Total";"700,41"
"MU";"2802502";"General Maynard (SE)";"Total";"765,34"
"MU";"2802601";"Graccho Cardoso (SE)";"Total";"665,05"
"MU";"2802700";"Ilha das Flores (SE)";"Total";"522,34"
"MU";"2802809";"Indiaroba (SE)";"Total";"611,83"
"MU";"2802908";"Itabaiana (SE)";"Total";"1080,72"
"MU";"2803005";"Itabaianinha (SE)";"Total";"682,43"
"MU";"2803104";"Itabi (SE)";"Total";"772,31"
"MU";"2803203";"Itaporanga d'Ajuda (SE)";"Total";"663,07"
"MU";"2803302";"Japaratuba (SE)";"Total";"816,67"
"MU";"2803401";"Japoatã (SE)";"Total";"715,33"
"MU";"2803500";"Lagarto (SE)";"Total";"928,75"
"MU";"2803609";"Laranjeiras (SE)";"Total";"752,52"
"MU";"2803708";"Macambira (SE)";"Total";"859,09"
"MU";"2803807";"Malhada dos Bois (SE)";"Total";"747,74"
"MU";"2803906";"Malhador (SE)";"Total";"779,87"
"MU";"2804003";"Maruim (SE)";"Total";"770,84"
"MU";"2804102";"Moita Bonita (SE)";"Total";"796,80"
"MU";"2804201";"Monte Alegre de Sergipe (SE)";"Total";"727,55"
"MU";"2804300";"Muribeca (SE)";"Total";"740,68"
"MU";"2804409";"Neópolis (SE)";"Total";"761,43"
"MU";"2804458";"Nossa Senhora Aparecida (SE)";"Total";"812,94"
"MU";"2804508";"Nossa Senhora da Glória (SE)";"Total";"879,22"
"MU";"2804607";"Nossa Senhora das Dores (SE)";"Total";"760,07"
"MU";"2804706";"Nossa Senhora de Lourdes (SE)";"Total";"814,61"
"MU";"2804805";"Nossa Senhora do Socorro (SE)";"Total";"822,63"
"MU";"2804904";"Pacatuba (SE)";"Total";"588,41"
"MU";"2805000";"Pedra Mole (SE)";"Total";"631,36"
"MU";"2805109";"Pedrinhas (SE)";"Total";"745,96"
"MU";"2805208";"Pinhão (SE)";"Total";"677,94"
"MU";"2805307";"Pirambu (SE)";"Total";"750,38"
"MU";"2805406";"Poço Redondo (SE)";"Total";"632,67"
"MU";"2805505";"Poço Verde (SE)";"Total";"757,03"
"MU";"2805604";"Porto da Folha (SE)";"Total";"616,69"
"MU";"2805703";"Propriá (SE)";"Total";"941,63"
